日付	国内合計	北海道	青森県	岩手県	宮城県	秋田県	山形県	福島県	茨城県	栃木県	群馬県	埼玉県	千葉県	東京都	神奈川県	新潟県	富山県	石川県	福井県	山梨県	長野県	岐阜県	静岡県	愛知県	三重県	滋賀県	京都府	大阪府	兵庫県	奈良県	和歌山県	鳥取県	島根県	岡山県	広島県	山口県	徳島県	香川県	愛媛県	高知県	福岡県	佐賀県	長崎県	熊本県	大分県	宮崎県	鹿児島県	沖縄県
2020/1/16																																																
2020/1/17																																																
2020/1/18																																																
2020/1/19																																																
2020/1/20																																																
2020/1/21																																																
2020/1/22																																																
2020/1/23																																																
2020/1/24																																																
2020/1/25																																																
2020/1/26																																																
2020/1/27																																																
2020/1/28																																																
2020/1/29																																																
2020/1/30																																																
2020/1/31																																																
2020/2/1																																																
2020/2/2																																																
2020/2/3																																																
2020/2/4																																																
2020/2/5																																																
2020/2/6																																																
2020/2/7																																																
2020/2/8																																																
2020/2/9																																																
2020/2/10																																																
2020/2/11																																																
2020/2/12																																																
2020/2/13																																																
2020/2/14																																																
2020/2/15																																																
2020/2/16																																																
2020/2/17																																																
2020/2/18																																																
2020/2/19																																																
2020/2/20																																																
2020/2/21																																																
2020/2/22																																																
2020/2/23																																																
2020/2/24																																																
2020/2/25																																																
2020/2/26																																																
2020/2/27																																																
2020/2/28																																																
2020/2/29																																																
2020/3/1																																																
2020/3/2																																																
2020/3/3																																																
2020/3/4																																																
2020/3/5																																																
2020/3/6																																																
2020/3/7																																																
2020/3/8																																																
2020/3/9																																																
2020/3/10																																																
2020/3/11																																																
2020/3/12																																																
2020/3/13																																																
2020/3/14																																																
2020/3/15																																																
2020/3/16																																																
2020/3/17																																																
2020/3/18																																																
2020/3/19																																																
2020/3/20																																																
2020/3/21																																																
2020/3/22																																																
2020/3/23																																																
2020/3/24																																																
2020/3/25																																																
2020/3/26																																																
2020/3/27																																																
2020/3/28																																																
2020/3/29																																																
2020/3/30																																																
2020/3/31																																																
2020/4/1																																																
2020/4/2																																																
2020/4/3																																																
2020/4/4																																																
2020/4/5																																																
2020/4/6																																																
2020/4/7																																																
2020/4/8																																																
2020/4/9																																																
2020/4/10																																																
2020/4/11																																																
2020/4/12																																																
2020/4/13																																																
2020/4/14																																																
2020/4/15																																																
2020/4/16																																																
2020/4/17																																																
2020/4/18																																																
2020/4/19																																																
2020/4/20																																																
2020/4/21																																																
2020/4/22																																																
2020/4/23																																																
2020/4/24																																																
2020/4/25																																																
2020/4/26																																																
2020/4/27																																																
2020/4/28																																																
2020/4/29																																																
2020/4/30																																																
2020/5/1																																																
2020/5/2																																																
2020/5/3																																																
2020/5/4																																																
2020/5/5																																																
2020/5/6																																																
2020/5/7																																																
2020/5/8																																																
2020/5/9																																																
2020/5/10																																																
2020/5/11																																																
2020/5/12																																																
2020/5/13																																																
2020/5/14																																																
2020/5/15																																																
2020/5/16																																																
2020/5/17	0.101452836320115	0.438095238095238	0	0	0	0	0	0	0	0	0	0.054421768707483	3.19539862597859E-02	0.409453343868975	0.173950858882366	0	0.478927203065134	0.439367311072056	0	0	0	5.03271263210871E-02	0	0	0	0	0	0.124872289703712	7.31796560556165E-02	0	0.108108108108108	0	0	0	0	0	0	0	0	0	1.95924764890282E-02	0	0	-0.17162471395881	0	0	0	6.88231245698555E-02
